trade_date,open,high,low,close,change,return,volume,volume_in_money
2016/5/6,6208.44,6226.88,5961.46,5961.49,-242.33,-3.91,980569.18,13080957.93
2016/5/5,6159.73,6206.53,6133.38,6203.82,34.03,0.55,645589.67,9183134.63
2016/5/4,6144.57,6213.19,6136.3,6169.78,2.33,0.04,745557.4,10522334.4
2016/5/3,5991.83,6167.8,5960.94,6167.45,181.86,3.04,758310.59,10342618.88
2016/4/29,5963.91,6018.27,5953.13,5985.59,-4.73,-0.08,497041.88,6677769.43
2016/4/28,6014.13,6027.2,5888.06,5990.33,-26.37,-0.44,604307.01,7901595.68
2016/4/27,6051.44,6086.36,6005.16,6016.7,-30.07,-0.5,607315.81,8074169.42
2016/4/26,5971.81,6047.06,5958.4,6046.77,68.7,1.15,560553.05,7337321.2
2016/4/25,5997.21,5997.22,5897.74,5978.08,-33.24,-0.55,570343.33,7355579.96
2016/4/22,5930.53,6011.46,5915.31,6011.32,40.64,0.68,623238.11,8010964.91
2016/4/21,6000.31,6085.94,5960.5,5970.68,-51.53,-0.86,848085.92,10642175.55
2016/4/20,6331.87,6344.78,5923.43,6022.21,-286.02,-4.53,1173253.87,15125661.95
2016/4/19,6314.58,6334.9,6262.61,6308.23,27.03,0.43,694386.67,9425090.84
2016/4/18,6343.7,6343.7,6241.98,6281.2,-103.15,-1.62,804004.72,10685600.39
2016/4/15,6403.25,6414.79,6345.55,6384.35,-17.5,-0.27,827980.55,10842543.23
2016/4/14,6375.49,6402.51,6324.46,6401.86,57.63,0.91,990881.76,12615160.35
2016/4/13,6292.57,6421.73,6292.57,6344.23,91.45,1.46,1329899.84,16848193.32
2016/4/12,6299.47,6316.25,6182.82,6252.77,-51.53,-0.82,870617.67,11867112.44
2016/4/11,6226.38,6334.54,6226.38,6304.3,135.56,2.2,1021999.78,13613542.43
2016/4/8,6176.86,6199.15,6087.1,6168.74,-60.23,-0.97,886701.73,11727350.61
2016/4/7,6344.37,6355.33,6228.97,6228.97,-94.46,-1.49,1099271.5,14535244.64
2016/4/6,6262.6,6324.21,6243.11,6323.43,36.85,0.59,1046745.79,13941035.33
2016/4/5,6136.69,6293.47,6117.18,6286.58,162.05,2.65,1055430.49,13735979.87
2016/4/1,6129.72,6157.74,6022.97,6124.53,-31.29,-0.51,852195.33,10923606.22
2016/3/31,6164.28,6211.14,6133.6,6155.81,18.31,0.3,949157.22,13021639.08
2016/3/30,5981.42,6137.79,5981.42,6137.5,215.64,3.64,880612.92,11651073.87
2016/3/29,6029.94,6041.38,5875.07,5921.87,-115.91,-1.92,790039.75,9995009.62
2016/3/28,6114.77,6167.24,6017.49,6037.78,-39.65,-0.65,937823.3,12427785.98
2016/3/25,6006.67,6081.09,5996.54,6077.43,59.01,0.98,782313.12,10321495.12
2016/3/24,6062.76,6127.51,6008.54,6018.42,-100.54,-1.64,1014397.43,13487573.94
2016/3/23,6054.22,6119.31,6031.27,6118.97,43.47,0.72,896613.24,11855859.22
2016/3/22,6045.84,6130.27,6013.05,6075.49,-23.99,-0.39,1077216.54,13991575.22
2016/3/21,6016.69,6100.03,6001.32,6099.48,150.22,2.52,1318255.14,16676132.93
2016/3/18,5774.3,5967.46,5768.91,5949.26,203.29,3.54,1251603.41,15775613.06
2016/3/17,5589.22,5759.54,5579.73,5745.98,183.17,3.29,845757.58,10617792.79
2016/3/16,5662.44,5689.28,5531.33,5562.8,-77,-1.37,574873.32,6954298.06
2016/3/15,5672.75,5701.57,5609,5639.8,-50.79,-0.89,662689,8260704.67
2016/3/14,5568.46,5748.33,5568.46,5690.59,181.61,3.3,799974.18,9515349.66
2016/3/11,5460.54,5545.34,5433.32,5508.98,-12.97,-0.23,498000.22,5544998.69
2016/3/10,5617.42,5657.26,5517.02,5521.95,-95.09,-1.69,595594.11,6729808.14
2016/3/9,5627.14,5709.52,5583.07,5617.04,-147.29,-2.56,726153.23,8080488.29
2016/3/8,5751.39,5764.33,5538.15,5764.33,11.78,0.2,981496.56,10636870.79
2016/3/7,5686.69,5788.47,5681.85,5752.55,130.99,2.33,871705.81,9446727.97
2016/3/4,5755.12,5805.41,5542.98,5621.56,-155.42,-2.69,1088299.48,11745500.31
